iter	node_index	parent_index	status	ERA_SCORE	S_A	Q_imp	Q_den	imp_pval_spearman	imp_pval_pearson	imp_count_spearman	imp_count_pearson	ece	c_index	peak_auroc	dcr	den_pen	cal_pen	cidx_pen	peak_pen	dcr_pen	n_imp	selected_as_parent_at
0	0		ok	-0.393075	-0.30664969779934315	0.17908230220065682	0.25440404616511625	0.09875152547002358	0.04146393573730306	0.438752496456099	0.13736125113920164	0.04550492605747683	0.6447672526041667	nan	4.187382306485311	-0.0	0.0	0.0	-0.08642560000000002	0.0	1000000	1,2,3,4,5
1	1	0	ok	-0.309835	-0.1970887516113613	0.2886432483886387	0.43408305608941833	0.22176624754762334	0.10693283131686714	0.5832013759481568	0.24267253874190753	0.13917186451750782	0.7109354654947917	nan	4.0524920233945485	-0.0	-0.026321145807003128	0.0	-0.08642560000000002	0.0	1000000	-
2	2	0	ok	-0.334497	-0.23988795735694635	0.24584404264305365	0.34775837794382636	0.07690944280773859	0.07211550555949975	0.5676793109711133	0.2666719112338629	0.09382764182849533	0.6773783365885416	nan	3.8413735040086903	-0.0	-0.008183456731398132	0.0	-0.08642560000000002	0.0	1000000	-
3	3	0	ok	-0.218388	-0.1165178168203021	0.3692141831796979	0.4704193579459718	0.4031158298556658	0.17284035785404767	0.6518385728491246	0.24906197215995352	0.11198081747133135	0.7299072265625	nan	4.068901677033208	-0.0	-0.015444726988532538	0.0	-0.08642560000000002	0.0	1000000	6,7,8,10
4	4	0	ok	-0.278447	-0.17668606298420353	0.30904593701579647	0.47159694723522916	0.3415795504153128	0.28493156974990375	0.5579732933608228	0.05169933453714662	0.06964641511165096	0.5558939615885417	nan	2.233224097506263	-0.0	0.0	0.0	-0.08642560000000002	-0.01533551804987474	1000000	-
5	5	0	ok	-0.250613	-0.1509708672658307	0.3347611327341693	0.45788949219290814	0.40117018576378055	0.14875232425551496	0.635928713855497	0.1531933070618847	0.10641070900421287	0.6410685221354167	nan	3.8590723602706802	-0.0	-0.013216683601685148	0.0	-0.08642560000000002	0.0	1000000	9
6	6	3	ok	-0.254598	-0.15051418545788064	0.33521781454211935	0.425358768159918	0.3402941556001321	0.1305157783612164	0.6260973437975972	0.24396398040953177	0.11751470920965469	0.7113371723084755	nan	4.093951970532139	-0.0	-0.017658283683861877	0.0	-0.08642560000000002	0.0	1000000	-
7	7	3	ok	-0.251638	-0.15303197271838453	0.33270002728161546	0.4534132682951222	0.3872706639905755	0.12249434298804805	0.6371334486251407	0.18390165352269752	0.10381984270400511	0.7275410970052083	nan	3.9776295171093836	-0.0	-0.012180337081602044	0.0	-0.08642560000000002	0.0	1000000	-
8	8	3	fail	-1000000000.0																		-
9	9	5	ok	-0.161765	-0.14074246065308865	0.34498953934691134	0.45967443059378504	0.40243792332294065	0.15389604536621326	0.627742933208156	0.1958812554903356	0.12592550731505128	0.6896158854166666	0.8167342452288424	4.053100540281966	-0.0	-0.02102260292602051	0.0	0.0	0.0	1000000	11,12,13,14,15,19,20
10	10	3	fail	-1000000000.0																		-
